listing_id,avg_price,median_price,min_date,max_date,n_observations,n_unique_dates,season_high
17511306,1007.8548387096774,1100.0,2025-01-24,2025-04-06,62,62,1007.8548387096774
17570590,1560.2456140350878,1574.0,2025-01-12,2025-04-20,114,68,1560.2456140350878
18395333,611.8915662650602,600.0,2025-02-09,2025-04-17,166,64,611.8915662650602
18505349,634.5076923076923,650.0,2025-03-15,2025-04-13,65,30,634.5076923076923
18506998,373.4878048780488,350.0,2025-03-04,2025-04-16,41,20,373.4878048780488
18735821,250.61363636363637,250.0,2025-02-10,2025-04-06,44,44,250.61363636363637
1977915,864.3805037735849,850.0,2025-02-13,2025-04-20,159,67,864.3805037735849
20555680,200.0,200.0,2025-04-01,2025-04-19,19,19,200.0
20618105,649.4862763779528,634.3333,2025-01-13,2025-03-06,127,44,649.486276377953
20863370,507.93055555555554,500.0,2025-03-19,2025-04-13,18,18,507.93055555555554
20943549,425.261874875,400.0,2025-01-25,2025-04-20,160,65,425.261874875
21025393,740.7201641975308,750.0,2025-02-15,2025-04-20,81,36,740.7201641975308
21077682,791.90909,670.3333,2025-01-09,2025-04-07,110,57,791.90909
21091876,767.8160173160173,700.0,2025-01-08,2025-04-20,231,91,767.8160173160173
21103486,357.3311225595238,350.0,2025-01-22,2025-04-20,168,66,357.3311225595238
21103807,1081.6901408450703,1450.0,2025-01-27,2025-04-07,71,71,1081.6901408450703
21280090,825.9509493670886,850.0,2025-01-16,2025-04-20,158,64,825.9509493670886
21295667,679.2234837878788,517.0,2025-02-27,2025-04-20,132,53,679.2234837878788
21324331,797.9677419354839,802.0,2025-02-05,2025-03-24,93,34,797.9677419354839
21397811,710.9806302702702,600.0,2025-01-27,2025-04-16,185,68,710.9806302702702
21436592,528.8059701492538,490.0,2025-01-12,2025-03-31,67,67,528.8059701492538
21454457,211.6551724137931,172.0,2025-02-19,2025-04-20,29,15,211.6551724137931
21545686,321.54055555555556,269.0,2025-02-03,2025-04-20,180,72,321.54055555555556
21552865,739.964705882353,750.0,2025-01-16,2025-03-05,85,29,739.964705882353
21607605,779.0921978723404,650.0,2025-01-25,2025-04-17,47,47,779.0921978723404
21632405,505.2117655462185,408.0,2025-01-29,2025-04-16,119,53,505.2117655462185
21662762,317.9222222222222,300.0,2025-01-30,2025-04-17,90,36,317.9222222222222
21695053,757.6960093896714,720.0,2025-01-22,2025-04-20,213,82,757.6960093896714
21734892,792.4940476190476,800.0,2025-02-12,2025-04-20,168,68,792.4940476190476
21743476,692.08295,650.0,2025-02-10,2025-04-06,56,56,692.08295
21780661,478.25396825396825,600.0,2025-01-28,2025-04-06,63,63,478.25396825396825
22047595,700.8376901960784,620.0,2025-02-08,2025-04-20,153,60,700.8376901960784
22190101,277.5527778378378,250.0,2025-02-24,2025-04-20,111,46,277.5527778378378
22191680,460.52884615384613,400.0,2025-01-25,2025-04-17,208,80,460.52884615384613
22223346,592.25,590.0,2025-02-23,2025-04-06,28,28,592.25
22231120,334.46041675000004,341.0,2025-01-31,2025-04-20,80,80,334.46041675000004
22243318,550.6666666666666,580.0,2025-02-02,2025-04-20,111,52,550.6666666666666
22245880,1334.3490235294119,1220.5,2025-01-25,2025-04-20,170,72,1334.3490235294119
22306996,216.5238092857143,250.0,2025-03-22,2025-04-20,56,30,216.5238092857143
22307401,405.18518518518516,400.0,2025-02-24,2025-04-06,27,27,405.18518518518516
22335276,713.114428358209,800.0,2025-01-22,2025-04-05,67,67,713.114428358209
22383070,321.29583349999996,250.0,2025-01-27,2025-04-20,40,40,321.2958335
22421016,806.1358037037038,800.0,2025-02-15,2025-02-23,27,9,806.1358037037038
22421421,434.98854961832063,347.0,2025-01-14,2025-04-20,131,56,434.98854961832063
22421606,440.8,361.0,2025-01-12,2025-04-17,120,47,440.8
22428497,299.0,299.0,2025-02-03,2025-04-06,40,40,299.0
22514231,400.0,300.0,2025-01-10,2025-04-06,36,36,400.0
22648075,396.66153846153844,348.0,2025-02-02,2025-04-16,65,65,396.66153846153844
22739656,1243.655617679558,1280.0,2025-01-24,2025-04-20,181,74,1243.655617679558
22810332,480.0464285714286,480.0,2025-02-15,2025-04-20,168,65,480.0464285714286
22901902,721.0091042016807,700.0,2025-01-19,2025-04-20,238,92,721.0091042016807
23023313,549.1101694915254,650.0,2025-01-22,2025-04-19,177,68,549.1101694915254
23068512,636.9473684210526,700.0,2025-01-13,2025-02-27,19,19,636.9473684210526
23078040,774.074074074074,800.0,2025-02-09,2025-04-19,54,54,774.074074074074
23108026,679.3243243243244,590.0,2025-01-07,2025-04-06,74,74,679.3243243243244
23263225,286.40909090909093,283.0,2025-01-24,2025-02-03,11,11,286.40909090909093
23299596,612.4444444444445,553.0,2025-01-15,2025-03-28,36,36,612.4444444444445
23343001,568.4976303317535,600.0,2025-01-20,2025-03-31,211,71,568.4976303317535
23390752,1377.2948717948718,1350.0,2025-01-20,2025-04-07,78,78,1377.2948717948718
23779860,406.25,300.0,2025-01-25,2025-04-17,32,32,406.25
23787711,400.0,400.0,2025-01-06,2025-04-05,90,90,400.0
24171739,451.6607142857143,416.0,2025-03-01,2025-04-16,56,31,451.6607142857143
25104649,714.9017857142857,890.0,2025-01-06,2025-04-07,112,57,714.9017857142857
25165914,617.3081896551724,700.0,2025-01-08,2025-04-20,232,87,617.3081896551724
25918412,429.68489578125,390.0,2025-02-03,2025-04-07,64,64,429.68489578125
26026295,451.4513888888889,390.0,2025-01-21,2025-04-11,72,27,451.4513888888889
26197944,473.1613924050633,450.0,2025-02-05,2025-04-20,158,75,473.1613924050633
26334990,1219.8892477419356,1200.0,2025-01-31,2025-04-20,155,67,1219.8892477419356
26570136,702.0586803030303,745.83335,2025-01-16,2025-04-20,198,82,702.0586803030303
26708551,559.5928565714286,478.0,2025-01-14,2025-04-20,175,72,559.5928565714286
26839303,762.5758395348837,800.0,2025-01-24,2025-04-17,129,52,762.5758395348837
26895628,966.360824742268,850.0,2025-02-13,2025-04-16,97,40,966.360824742268
26898492,373.6842105263158,350.0,2025-02-13,2025-04-07,38,38,373.6842105263158
27022969,1726.4677773333333,1808.0,2025-01-08,2025-03-08,150,60,1726.4677773333333
27201205,697.6355546666666,605.0,2025-01-23,2025-04-16,75,37,697.6355546666666
27338096,1383.6067415730338,1350.0,2025-01-08,2025-04-06,89,89,1383.6067415730338
27704027,751.8098481818182,800.0,2025-01-27,2025-04-20,220,84,751.8098481818182
27718978,530.7317073170732,500.0,2025-03-09,2025-04-17,41,24,530.7317073170732
27910707,1557.274074074074,1680.0,2025-01-14,2025-04-06,81,81,1557.274074074074
27981528,555.8431034482759,500.0,2025-01-15,2025-04-20,145,61,555.8431034482759
